point	title	description	iconSize	iconOffset	icon
43.2476632,3.2922119	Valras-Plage 	14 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	32,32	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
44.3833397,4.9907063	Valréas	Nombre de caméras inconnu</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
47.6648401,-2.7509542	Vannes	27 caméras en projet en 2007</br>Coût :977 000€ pour le projet</br>Source : <a href="http://www.entreprise-transparence.com/transparence-actualites/videosurveillance-a-vannes-les-27-sites-dimplantation-de-cameras-devoiles/">http://www.entreprise-transparence.com/transparence-actualites/videosurveillance-a-vannes-les-27-sites-dimplantation-de-cameras-devoiles/</> AVEC PLAN + <a href="http://www.mgm-mag.info/article/actualite/videosurveillance-a-vannes-les-27-sites-dimplantation-de-cameras-devoiles/index.html">http://www.mgm-mag.info/article/actualite/videosurveillance-a-vannes-les-27-sites-dimplantation-de-cameras-devoiles/index.html</> + <a href="http://www.mgm-mag.info/article/actualite/videosurveillance-vannes-a-mis-ses-6-cameras-en-route/index.html">http://www.mgm-mag.info/article/actualite/videosurveillance-vannes-a-mis-ses-6-cameras-en-route/index.html</> + <a href="http://www.mairie-vannes.fr/la_mairie/conseil_municipal/resume_des_deliberations/conseil_municipal_du_29_juin_2007/1953/index.html#video">http://www.mairie-vannes.fr/la_mairie/conseil_municipal/resume_des_deliberations/conseil_municipal_du_29_juin_2007/1953/index.html#video</> 	34,34	-17,-17	http://www.leretourdelautruche.com/map/cctv/cctv1.png
48.8207863,2.2902895	Vanves	9 (en sept 2008)</br>Source : <a href="http://www.ville-vanves.fr/article.php3?id_article=944">http://www.ville-vanves.fr/article.php3?id_article=944</> 	31,31	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
45.7784742,4.9199183	Vaulx en Velin 	Nombre de caméras inconnu</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.6932190,4.2749593	Vauvert	7 en 2007</br>Coût :100 000€</br>Source : <a href="http://www.axis.com/files/success_stories/ss_city_villedevauvert_32900_fr_0809_lo.pdf">http://www.axis.com/files/success_stories/ss_city_villedevauvert_32900_fr_0809_lo.pdf</> 	31,31	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.5229688,5.2537758	Velaux	Nombre de caméras inconnu</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.7236506,7.1068471	Vence 	16 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	32,32	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.7422636,4.2215763	Vergeze 	14 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	32,32	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
49.0922478,1.4824479	Vernon	Source : <a href="http://www.klekoon.com/boamp/boamp-appels-offres-maintenance-video-surveillance-urbaine-pour-ville-vernon-vernon-1091338.htm">http://www.klekoon.com/boamp/boamp-appels-offres-maintenance-video-surveillance-urbaine-pour-ville-vernon-vernon-1091338.htm</> 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
